#,יום,שעה,מלון,תלות קאסט,אשכול,לוקיישן,קטגוריה,סרטון,סוג,תסריט,קאסט,לוגיסטיקה – לקוח,לוגיסטיקה – הפקה,הלבשה,הערות,בוצע
11,שני 5.10,12:15-13:00,מלכת שבא,ביוטי / ללא קאסט,לובי,לובי / שולחן,עמוד רגיל,רגיל 1 · חבר מועדון stars,רגיל,"עוצרים על עמוד אחד, מקיפים סופ״ש. כותרת: ""איך תשיגו חופשה באילת במחירים שאין?""",ידיים,,לוח שנה + טוש,,,
12,שני 5.10,12:15-13:00,מלכת שבא,שחקנים,לובי,לובי,עמוד רגיל,רגיל 1 · חבר מועדון stars,רגיל,"טרנזישן לקוקטייל בלובי. כותרת: ""ואיך תרוויחו חיסכון של מאות שקלים בכל חופשה ושלל הטבות והפתעות בלעדיות?""",שחקן,קוקטייל,,לבוש חופש,,
13,שני 5.10,13:45-15:00,מלכת שבא,שחקנים,בריכה,בריכה,עמוד רגיל,רגיל 1 · חבר מועדון stars,רגיל,"טרנזישן לבריכה. כותרת: ""איך תקבלו 15% הנחה בנוסף לכל המבצעים – בחודש יום ההולדת שלכם ובמועד נוסף לבחירתכם?""",שחקן,גישה לבריכה,,בגד ים / לבוש חוף,,
14,שני 5.10,13:45-15:00,מלכת שבא,שחקנים,בריכה,שפת הבריכה,עמוד רגיל,רגיל 1 · חבר מועדון stars,רגיל,"טרנזישן חזרה לשפת הבריכה. כותרות: ""תצטרפו למועדון stars – 149 ₪ בלבד לשנתיים שלמות"" / ""ההשקה ב-1.1.2027"" / ""תפסו מקום על שפת הבריכה""",שחקן,,,בגד ים / לבוש חוף,תאריך השקה: 1.1.2027,
15,שני 5.10,13:45-15:00,מלכת שבא,שחקנים,בריכה,בריכה / לובי,עמוד רגיל,רגיל 2 · נציג הולוגרמה (צ׳ק-אין AI),רגיל,"האורח/ת נופש/ת בבריכה. כותרת סיום: ""החופשה שלכם הרגע עשתה אפגרייד, נתראה במלכת שבא!"" (לוגו אסטרל + מלכת שבא)",שחקן,,,בגד ים / לבוש חופש,אחרי שוטי העמדה,
16,שני 5.10,15:00-16:00,מלכת שבא,עובדים,בר,בר,טרנדים,טרנד 2 · ברמן וניקוי מצלמה,hr,ברמן עומד בבר – שוט פתיחה,ברמן (או שחקן),ברמן,,מדי ברמן,רפרנס: vt.tiktok.com/ZS4P7jRNt · אותה קומפוזיציה מדויקת לפני ואחרי,
17,שני 5.10,15:00-16:00,מלכת שבא,ביוטי / ללא קאסט,בר,בר,טרנדים,טרנד 2 · ברמן וניקוי מצלמה,hr,"ניקוי מצלמה + כותרת: ""רגע תנו לי לנקות את המצלמה רגע""",—,,מטלית לניקוי עדשה,,,
18,שני 5.10,15:00-16:00,מלכת שבא,עובדים,בר,בר,טרנדים,טרנד 2 · ברמן וניקוי מצלמה,hr,"קאט – הברמן באותו מקום בדיוק, מחזיק מלא מלא קוקטיילים. כותרות: ""או! עכשיו אתה מוכן למשמרת"" / ""נו מה אתה עומד פה? אנשים מחכים לקוקטייל""",ברמן,*** הרבה קוקטיילים מוכנים (6-10) ***,,מדי ברמן,,
19,שני 5.10,16:00-17:00,מלכת שבא,עובדים,בר,בר,התקדמות ברשת,התקדמות 3 · להעביר את הקוקטייל,hr,"עובד 1: ""התחלתי בבר, היום אני מנהל המזון והמשקאות באסטרל, ובחיים לא הייתי עובד בקבלה"" – מעביר את הקוקטייל",עובד 1 – מנהל מזון ומשקאות,מנהל מזון ומשקאות + קוקטייל מוכן,,מדים לפי תפקיד,לתכנן מסלול העברה בין 3 לוקיישנים סמוכים – רצוי רצף אחד,
20,שני 5.10,16:00-17:00,מלכת שבא,עובדים,קבלה,קבלה,התקדמות ברשת,התקדמות 3 · להעביר את הקוקטייל,hr,"עובד/ת 2: ""התחלתי בקבלה, היום אני מנהלת משמרת שם, לא הייתי רוצה לנהל את המלון – נראה לי קשה"" – מעבירה",עובד/ת 2 – מנהל/ת משמרת קבלה,מנהל/ת משמרת קבלה,,מדים לפי תפקיד,,
21,שני 5.10,16:00-17:00,מלכת שבא,עובדים,לובי,לובי או משרד ההנהלה,התקדמות ברשת,התקדמות 3 · להעביר את הקוקטייל,hr,"עובד/ת 3 (בכיר/ה): ""וכולנו התקדמנו בתוך המשפחה של אסטרל – בואו לגדול איתנו?"" + שותה את הקוקטייל",עובד/ת 3 – מנהל/ת בכיר/ה,מנהל/ת בכיר/ה,,מדים / ייצוגי,אופציונלי: 2 מהשלושה יכולים להיות שחקנים,
22,שני 5.10,17:00-17:45,מלכת שבא,שחקנים,קבלה / בר / לובי,קבלה או בר או לובי,משפחתיות,משפחתיות 1 · 16:59 / 17:01,hr,כותרת: 16:59 – 2 עובדים במדים עומדים יחד ומתקתקים עבודה,שחקן + רינת (או עובד/ת),2 סטים של מדים,,מדים,לשמור קומפוזיציה מדויקת – היא חוזרת זהה בכל הקאטים,
23,שני 5.10,17:45-19:15,חוץ – ים,שחקנים,חוץ – ים,ים,משפחתיות,משפחתיות 1 · 16:59 / 17:01,hr,"כותרת: 17:01 – אותם 2, אותה קומפוזיציה בדיוק, יושבים בים",שחקן + רינת (או עובד/ת),,הסעה לים + מקום להחלפת בגדים,בגדי חוף,גולדן אוור,
24,שני 5.10,17:45-19:15,חוץ – טיילת,שחקנים,חוץ – טיילת,טיילת,משפחתיות,משפחתיות 1 · 16:59 / 17:01,hr,וריאציה: אותם 2 באותה קומפוזיציה בטיילת,שחקן + רינת (או עובד/ת),,הסעה,בגדי חוף / ערב,,
25,שני 5.10,19:15-20:00,חוץ – קניון,שחקנים,חוץ – קניון,קניון,משפחתיות,משפחתיות 1 · 16:59 / 17:01,hr,וריאציה: אותם 2 באותה קומפוזיציה בקניון,שחקן + רינת (או עובד/ת),,הסעה,יומיומי,אופציונלי – רק אם יש זמן,
26,שלישי 6.10,09:00-10:15,מלכת שבא,ביוטי / ללא קאסט,חדר אוכל,חדר אוכל המלון,קל לחסוך,חיסכון 3 · כמה זה עולה לי,hr,"המצלמה עוקבת אחרי היד – צלחת ארוחה מושקעת בחדר האוכל. כותרת בסטייל חשבונית: ""ארוחת צהריים · בחוץ 200,000₪ בשנה · באסטרל 0₪, 3 ארוחות שוות ביום""",יד של עובד / שחקן,צלחת ארוחה מושקעת,,,לא חייב חדר אוכל עובדים – מצלמים צלחת בחדר האוכל של המלון,
27,שלישי 6.10,09:00-10:15,מלכת שבא,ביוטי / ללא קאסט,חדר,חדר / דלת חדר,קל לחסוך,חיסכון 3 · כמה זה עולה לי,hr,"קלוז-אפ יד מחזיקה מפתח או כרטיס חדר. כותרת חשבונית: ""מגורים · בחוץ 48,000₪ לפחות · באסטרל: מסובסד""",יד של עובד / שחקן,מפתח או כרטיס חדר,,,לא צריך גישה למגורים אמיתיים – זה קלוז-אפ על מפתח בלבד,
28,שלישי 6.10,09:00-10:15,מלכת שבא,ביוטי / ללא קאסט,חדר,חדר / עגלת חדרנית,קל לחסוך,חיסכון 3 · כמה זה עולה לי,hr,"ערימת כביסה נקייה ומקופלת. כותרת חשבונית: ""כביסה וחשבונות · בחוץ 2,000₪ וקאדר לעשות כביסה · באסטרל 0₪, ועושים לך כביסה למדים""",—,ערימת כביסה נקייה ומקופלת,,,"אפשר בכל מקום עם כביסה מקופלת – חדר, עגלת חדרנית או מכבסה",
29,שלישי 6.10,09:00-10:15,מלכת שבא,ביוטי / ללא קאסט,חדר,—,קל לחסוך,חיסכון 3 · כמה זה עולה לי,hr,"כותרת סיום: ""בואו לעבוד איתנו, החישוב הכי פשוט שתעשו השנה""",—,,,,שוט נייטרלי או גרפיקה בפוסט,
30,שלישי 6.10,10:15-11:30,מלכת שבא,עובדים,מטבח,מטבח,דרושים,דרושים 2 · עובדת מחליקה בין הלוקיישנים,hr,"העובד/ת מחליקה ומצטלמת + פריז פריים. כותרת: ""טבחים""",עובד/ת אחת – אותה דמות בכל השוטים,גישה למטבח + תיאום עם הצוות,,מדים,רפרנס: vt.tiktok.com/ZS4PcW42S · אותה דמות בכל 5 הלוקיישנים – לצלם כרצף אחד,
31,שלישי 6.10,10:15-11:30,מלכת שבא,עובדים,משרד,משרד,דרושים,דרושים 2 · עובדת מחליקה בין הלוקיישנים,hr,"פריז פריים. כותרת: ""מנהלים""",אותה עובד/ת,גישה למשרד,,מדים,,
32,שלישי 6.10,10:15-11:30,מלכת שבא,עובדים,קבלה,קבלה,דרושים,דרושים 2 · עובדת מחליקה בין הלוקיישנים,hr,"פריז פריים. כותרת: ""פקידי קבלה""",אותה עובד/ת,,,מדים,,
33,שלישי 6.10,10:15-11:30,מלכת שבא,עובדים,ביטחון,ליד מצלמות אבטחה,דרושים,דרושים 2 · עובדת מחליקה בין הלוקיישנים,hr,"פריז פריים. כותרת: ""קב״טים""",אותה עובד/ת,גישה לחדר בקרה / מצלמות,,מדים,,
34,שלישי 6.10,10:15-11:30,מלכת שבא,עובדים,חדר אוכל,כניסה לחדר אוכל,דרושים,דרושים 2 · עובדת מחליקה בין הלוקיישנים,hr,"פריז פריים. כותרת: ""מלצרים וצ׳קרים""",אותה עובד/ת,,,מדים,,
35,שלישי 6.10,10:15-11:30,מלכת שבא,עובדים,לפי תפקיד,—,דרושים,דרושים 2 · עובדת מחליקה בין הלוקיישנים,hr,"שוטי פתיחה וסיום לכותרות: ""אנחנו מגייסים"" / ""תגישו קו״ח?""",אותה עובד/ת,,,מדים,,
36,שלישי 6.10,11:30-12:00,מלכת שבא,עובדים,ביטחון,חדר בקרה / מצלמות אבטחה,טרנדים,טרנד 1 · קב״טים וגלבה,hr,"4 קב״טים מסתכלים ובוחנים ביחד משהו סביב מחשב אחד. כותרת: ""המנהל שלנו: וואי איך כיף לראות כזאת עבודת צוות, הם מרוכזים אז לא נפריע""",4 עובדי ביטחון,גישה לחדר בקרה + 4 קב״טים,,מדים,,
37,שלישי 6.10,11:30-12:00,מלכת שבא,עובדים,ביטחון,חדר בקרה – מסך,טרנדים,טרנד 1 · קב״טים וגלבה,hr,"קאט למסך המחשב: רואים סרטון של מצלמות אבטחה, אחד העובדים דופק גלבה","עובד (בצילום ה""אבטחה"")",אישור להפיק צילום בסטייל מצלמת אבטחה,,,"*** להפיק את ""צילום האבטחה"" בנפרד – לא באמת מהמצלמות ***",
38,שלישי 6.10,12:00-12:30,מלכת שבא,עובדים,מרכז הזמנות,מרכז ההזמנות,דרושים,דרושים 3 · מרכז ההזמנות – פתקים,hr,"עובדים קופצים ומדביקים פתקים על הקיר. כותרת: ""רואים מי מצליח לקפוץ הכי גבוה""",4-5 עובדי מרכז הזמנות,4-5 עובדי מרכז הזמנות זמינים יחד,5 פתקים מוכנים + דבק,יומיומי / מדים,רפרנס: vt.tiktok.com/ZS4PThCdC,
39,שלישי 6.10,12:00-12:30,מלכת שבא,ביוטי / ללא קאסט,מרכז הזמנות,מרכז ההזמנות – קיר,דרושים,דרושים 3 · מרכז ההזמנות – פתקים,hr,קאט לקיר עם 5 הפתקים: אנחנו / מגייסים / למגוון / תפקידים / באסטרל,—,,5 פתקים כתובים,,,
40,שלישי 6.10,12:30-13:00,מלכת שבא,עובדים,לפי תפקיד,עמדת העבודה של אחראי המשמרת,דרושים,דרושים 1 · אחראי משמרת,hr,"לצלם אחראי משמרת עובד + כותרת: ""סושיאל זה דבר מוזר, אני יכול לצלם את עצמי עובד ב-X אסטרל ולכתוב שאנחנו מחפשים טבחים, מנהלים, פקידי קבלה, קבטים, מלצרים וצ׳קרים ומישהו בשם עומרי יגיש קו״ח זריזזזזזז""",אחראי משמרת,אחראי משמרת מוכן להצטלם,,מדים,רפרנס: vt.tiktok.com/ZS4PW9aLm · השם בכותרת הוא גאג של הטרנד – לא בן אדם שמצלמים,
41,שלישי 6.10,13:45-14:30,מלכת שבא,עובדים,סיבוב במלון,"לובי, מסדרונות, קבלה, בר – סיבוב",משפחתיות,משפחתיות 4 · כמה כיפים X מחלק בדקה,hr,"כותרת: ""כמה כיפים של X, מנהלת אסטרל X, ספרתם בסרטון?"" – הליכה עם המנהל/ת, אינטראקציות עם עובדים, כיפים",פזית – מנהלת מלכת שבא,פזית פנויה לסיבוב + עובדים בדרך שיודעים שאנחנו מגיעים,,ייצוגי,פזית נמצאת במלכת שבא,
42,שלישי 6.10,13:45-14:30,מלכת שבא,עובדים,סיבוב במלון,"לובי, מסדרונות, קבלה, בר",משפחתיות,משפחתיות 4 · כמה כיפים X מחלק בדקה,hr,"שוטים משלימים: מבטים, התעניינות בפרטים הקטנים, טפיחה על השכם",פזית + עובדים,,,ייצוגי,,
43,שלישי 6.10,14:30-15:30,מלכת שבא,עובדים,קבלה / בר,קבלה או בר,משפחתיות,משפחתיות 3 · נתפסו בעדשת המצלמה,hr,"סיטואציה א׳: עובד/ת מתקתקים בשיא הריכוז והלחץ, המנהל/ת נכנס/ת לפריים ומניח/ה קפה קר לידם – ""תמשיך תמשיך, זה עליי""",עובד/ת + מנהל/ת,מנהל/ת + עובד/ת,קפה קר,מדים,"כותרת כללית: ""דברים שלא תראו בשום מודעת דרושים"". סטייל מצלמה נסתרת – לצלם מרחוק / מהצד",
44,שלישי 6.10,14:30-15:30,מלכת שבא,עובדים,קבלה / בר,קבלה או בר,משפחתיות,משפחתיות 3 · נתפסו בעדשת המצלמה,hr,"סיטואציה ב׳: 2 עובדות צוחקות תוך כדי עבודה – ""וואי הרגת אותי""",2 עובדות,2 עובדות,,מדים,,
45,שלישי 6.10,14:30-15:30,מלכת שבא,עובדים,קבלה / בר,קבלה או בר,משפחתיות,משפחתיות 3 · נתפסו בעדשת המצלמה,hr,"סיטואציה ג׳: מנהל/ת נותנת לעובד לצאת מוקדם – ""טוב, אז צא מוקדם, הכל בסדר""",עובד/ת + מנהל/ת,,,מדים,,
46,שלישי 6.10,15:30-16:00,מלכת שבא,שחקנים + עובדים,לובי,לובי / רקע אחיד,משפחתיות,משפחתיות 2 · מצא את המנהל,hr,"כותרת: ""תמצאו את מנהל המלון בסרטון (רמת קושי: בלתי אפשרי)"" – 4-5 עובדים (המנהל בתוכם) עומדים בשורה ומסתכלים למצלמה",שחקן (משחק מנהל) + 4-5 עובדים,4-5 עובדים זמינים יחד באותו זמן,,מדים ייצוגיים לשחקן (אותם מדי מנהל משמרת מיום שני) + מדים לעובדים,רפרנס: vt.tiktok.com/ZS4UpE7mQ · השחקן משחק את המנהל – לא מנהל אמיתי,
47,שלישי 6.10,16:00-16:45,מלכת שבא,שחקנים,חדר,חדר נייטרלי,קל לחסוך,חיסכון 2 · לאיפה המשכורת נעלמת,hr,"חלק 1 – כותרת ""עבודה במרכז"": מחזיק שטרות ושולף אחד אחרי השני – ""שכירות... להכין אוכל או להזמין מבחוץ... חשבונות, וזה עוד בלי שדיברנו על כביסה..."" נשאר שטר אחד של 20 ₪",שחקן,,ערימת שטרות כולל שטר 20 ₪,יומיומי,אותה קומפוזיציה מדויקת בשני החלקים,
48,שלישי 6.10,16:00-16:45,מלכת שבא,שחקנים,חדר,אותו לוקיישן,קל לחסוך,חיסכון 2 · לאיפה המשכורת נעלמת,hr,"חלק 2 – כותרת ""עבודה באסטרל"": ""מגורים? מסובסד"" (מניח שטר אחד) / ""אוכל? חינם!"" / ""כביסה? עליהם!"" – מנופף בערימה: ""לזה אני קורא משכורת משתלמת""",שחקן,,ערימת שטרות,יומיומי,,
49,שלישי 6.10,16:45-17:30,מלכת שבא,עובדים,לובי / מסדרון,באמצע משמרת – לובי או מסדרון,התקדמות ברשת,התקדמות 2 · ריאיון קצר עם מנהל צעיר,hr,"ריאיון מיקרופון קטן, 5 שאלות: בן כמה אתה ובמה אתה עובד פה? / כמה זמן ברשת? / מאיזה תפקיד התחלת? / איך הגעת לנהל פה משהו? / כזה מהר?!",מנהל/ת צעיר/ה מהרשת + שחקן (מראיין),מנהל/ת צעיר/ה שעבר/ה התקדמות – חייב שם ומוכן/ה להצטלם,מיקרופון יד / כתבה,מדים,לא חייב סיפור גדול. באמצע משמרת – נותן סיבה שהריאיון קצר,
50,שלישי 6.10,16:45-17:30,מלכת שבא,עובדים,לובי / מסדרון,לובי או מסדרון,התקדמות ברשת,התקדמות 2 · ריאיון קצר עם מנהל צעיר,hr,"שוט תפיסה/הליכה של המנהל/ת לפני הריאיון – ""מסתובבים עם מיקרופון ותופסים אותו""",מנהל/ת צעיר/ה,,מיקרופון יד,מדים,,
51,שלישי 6.10,17:30-18:30,מלכת שבא,עובדים,לפי זמינות,לובי / פינת עובדים,רווחת העובד,רווחה 1 · הפינוק הכי שווה,hr,"ראיון עובד 1 – שאלה אחת: ""מה הפינוק הכי שווה או האירוע שהכי נהנית בו באסטרל?""",עובד/ת 1 + שחקן (מראיין),2-3 עובדים זמינים לראיון קצר,מיקרופון דש,מדים,קאטים מהירים בין התשובות. אופציות להזכיר אם נתקעים: קינוחים לט״ו באב / הרמת כוסית ראש השנה / ערב גיבוש מחלקה / מאפים לשבועות / ל״ג בעומר למשפחות,
52,שלישי 6.10,17:30-18:30,מלכת שבא,עובדים,לפי זמינות,לובי / פינת עובדים,רווחת העובד,רווחה 1 · הפינוק הכי שווה,hr,ראיון עובד 2 – אותה שאלה,עובד/ת 2,,מיקרופון דש,מדים,,
53,שלישי 6.10,17:30-18:30,מלכת שבא,עובדים,לפי זמינות,לובי / פינת עובדים,רווחת העובד,רווחה 1 · הפינוק הכי שווה,hr,ראיון עובד 3 – אותה שאלה,עובד/ת 3,,מיקרופון דש,מדים,,
54,שלישי 6.10,17:30-18:30,מלכת שבא,ביוטי / ללא קאסט,ארכיון,—,רווחת העובד,רווחה 1 · הפינוק הכי שווה,hr,"חומרי ארכיון לשילוב בתוך התשובות: קינוחים לט״ו באב, הרמת כוסית ראש השנה, ערב גיבוש מחלקה, מאפים לשבועות, ל״ג בעומר למשפחות",—,*** תמונות וסרטונים אמיתיים מהאירועים ***,,,זה מה שהופך את הסרטון לסיכום אירועים + חוות דעת אמיתית,
55,שלישי 6.10,18:30-19:00,מלכת שבא,שחקנים,רקע נקי,לובי / קיר נקי,טרנדים,טרנד 3 · מחביא את עצמי בין דוגמנים,hr,"עובד/שחקן מדגמן את העבודה שלו במדי אסטרל, בסטייל תמונת דוגמן. כותרת: ""מחביא את עצמי בין דוגמנים – רמת קושי 10000/10""",שחקן (או עובד/ת),מדי אסטרל,תמונות דוגמנים AI – להפיק בפוסט,מדי אסטרל,"רפרנס: vt.tiktok.com/ZS4PvC5bQ · השוט שלנו נכנס לתוך רצף תמונות הדוגמנים. בדוק מסומן ""שחקן"" – אפשר לעשות גם עם עובד/ת ואז זה זז לרביעי",
56,שלישי 6.10,18:30-19:00,מלכת שבא,שחקנים,קבלה / חדר,קבלה או חדר – סטייל ראיון דוקו,טרנדים,טרנד 4 · מתכוננת לסרט דוקומנטרי,hr,"עובדת מתיישבת מול המצלמה. כותרת: ""מתכוננת לסרט הדוקומנטרי שישאלו אותי בו למה אני פסיכופטית שמעדיפה משמרות בוקר לחוצות בקבלה…""",שחקן (או עובדת),,,מדים,"רפרנס: vt.tiktok.com/ZS4P7yhqa · בדוק מסומן ""שחקנים"" – אפשר גם עובדת ואז זה זז לרביעי",
57,רביעי 7.10,09:00-10:00,מלכת שבא,נציג הנהלה,משרד / חדר שקט,סביבת עבודה – חדר שקט,ראיונות,ראיון 1 · עדי פלד – מנהלת הדרכה ורווחה,hr,"שוט פתיחה – המראיין: ""עדי, יש לך 45 שניות להסביר למה רווחה באסטרל היא לא סתם קלישאה""",עדי פלד + אורי (מראיין),עדי פנויה כ-45 דק׳ + חדר שקט בלי רעש מיזוג,"מצלמה, מיקרופון דש, תאורה רכה",ייצוגי,לשלוח לעדי את 9 השאלות מראש,
58,רביעי 7.10,09:00-10:00,מלכת שבא,נציג הנהלה,משרד / חדר שקט,סביבת עבודה – חדר שקט,ראיונות,ראיון 1 · עדי פלד – מנהלת הדרכה ורווחה,hr,פינג-פונג 9 שאלות: הפינוק שהעובדים עפים עליו / יום ראשון של עובד חדש / ההטבה שמפתיעה צעירים / התקדמות מקצועית / התרבות במילה אחת / הדבר הקטן באמצע משמרת / עובד שהתחיל מאפס ומנהל מחלקה / המיתוס הגדול על מלונאות / משפט אחרון למתלבטים,עדי פלד,,מיקרופון דש,ייצוגי,תשובות קצרות וקצביות – לצלם רצף אחד ולחתוך בפוסט,
59,רביעי 7.10,10:00-10:30,מלכת שבא,נציג הנהלה,משרד / מסדרונות,סביבת עבודה,ראיונות,ראיון 1 · עדי פלד – מנהלת הדרכה ורווחה,hr,"בי-רול לחיפוי: עדי בסביבת העבודה, פגישה עם עובדים, הליכה במסדרונות",עדי פלד,אישור צילום במסדרונות ובמשרדים,,ייצוגי,לחיפוי בין תשובות,
60,רביעי 7.10,10:30-11:30,מלכת שבא,נציג הנהלה,משרד כספים,משרד / סביבת עבודה,ראיונות,ראיון 2 · ליז אלפסי – סמנכ״לית כספים,hr,ראיון – 10 שאלות מספרים: דיסטנס 0-10 / שנים ברשת / מספר תפקידים בדרך / אחוזי קידום לניהול / אחוז נשים בדרג בכיר / כוסות קפה בבוקר / זוגות שיצאו מאסטרל / מי שבא ל-3 חודשים ונשאר / אירועי רווחה בשנה / אחוזי גדילה / מיליוני ₪ בעובדים,ליז אלפסי + אורי (מראיין),ליז פנויה כ-45 דק׳ + משרד,"מיקרופון דש, תאורה",ייצוגי,קריטי: ליז חייבת לענות תשובה מלאה ולהגיד את המספר בפרונט,
61,רביעי 7.10,10:30-11:30,מלכת שבא,נציג הנהלה,משרד כספים,משרד / סביבת עבודה,ראיונות,ראיון 2 · ליז אלפסי – סמנכ״לית כספים,hr,שוטים לגרפיקת המספרים: 13 (שנים ברשת) / 100 (אחוז השקעה) / 0 (דיסטנס) – ליז בפריים עם אזור נקי למספר,ליז אלפסי,,קומפוזיציה עם מרווח למספר,ייצוגי,המספרים ייווספו בפוסט,
62,רביעי 7.10,11:30-12:00,מלכת שבא,נציג הנהלה,משרד כספים,משרד,ראיונות,ראיון 2 · ליז אלפסי – סמנכ״לית כספים,hr,"בי-רול: ליז במשרד, מסמכים ומאזנים, אינטראקציה עם הצוות הפיננסי",ליז אלפסי + צוות כספים,אישור צילום במשרדי הכספים,,ייצוגי,,
63,רביעי 7.10,12:00-13:00,מלכת שבא,עובדים / ביוטי,לפי הצורך,—,חלון ביטחון,השלמות,hr,חלון להשלמת שוטים שלא נסגרו בשני/שלישי – בלי שחקנים,עובדים / ללא קאסט,,,,*** סיום מוחלט 13:00 ***,
64,מועד נפרד,לקביעה,בית של נטע,שחקנים,בית של נטע,בית של נטע – לא מלון,קל לחסוך,חיסכון 1 · מה לא לארוז,hr,"נטע עומדת ליד מזוודה פתוחה. כותרת: ""מה *לא* לארוז כשאתם באים לעבוד באסטרל!""",נטע,,מזוודה פתוחה,יומיומי,*** לוקיישן חוץ-מלוני – לתאם מועד נפרד בבית של נטע ***,
